id,2000-01-01,000001.SH,399005.SZ,399102.SZ
1,2000-01-02,1366.58,0,0
2,2000-01-03,1366.58,0,0
3,2000-01-04,1406.371,0,0
4,2000-01-05,1409.682,0,0
5,2000-01-06,1463.942,0,0
6,2000-01-07,1516.604,0,0
7,2000-01-08,1516.604,0,0
8,2000-01-09,1516.604,0,0
9,2000-01-10,1545.112,0,0
10,2000-01-11,1479.781,0,0
11,2000-01-12,1438.02,0,0
12,2000-01-13,1424.442,0,0
13,2000-01-14,1408.848,0,0
14,2000-01-15,1408.848,0,0
15,2000-01-16,1408.848,0,0
16,2000-01-17,1433.33,0,0
17,2000-01-18,1426.623,0,0
18,2000-01-19,1440.724,0,0
19,2000-01-20,1466.863,0,0
20,2000-01-21,1465.085,0,0
21,2000-01-22,1465.085,0,0
22,2000-01-23,1465.085,0,0
23,2000-01-24,1477.344,0,0
24,2000-01-25,1476.506,0,0
25,2000-01-26,1481.117,0,0
26,2000-01-27,1506.767,0,0
27,2000-01-28,1534.997,0,0
28,2000-01-29,1534.997,0,0
29,2000-01-30,1534.997,0,0
30,2000-01-31,1534.997,0,0
31,2000-02-01,1534.997,0,0
32,2000-02-02,1534.997,0,0
33,2000-02-03,1534.997,0,0
34,2000-02-04,1534.997,0,0
35,2000-02-05,1534.997,0,0
36,2000-02-06,1534.997,0,0
37,2000-02-07,1534.997,0,0
38,2000-02-08,1534.997,0,0
39,2000-02-09,1534.997,0,0
40,2000-02-10,1534.997,0,0
41,2000-02-11,1534.997,0,0
42,2000-02-12,1534.997,0,0
43,2000-02-13,1534.997,0,0
44,2000-02-14,1673.943,0,0
45,2000-02-15,1670.67,0,0
46,2000-02-16,1693.109,0,0
47,2000-02-17,1640.649,0,0
48,2000-02-18,1668.091,0,0
49,2000-02-19,1668.091,0,0
50,2000-02-20,1668.091,0,0
51,2000-02-21,1677.136,0,0
52,2000-02-22,1632.294,0,0
53,2000-02-23,1594.93,0,0
54,2000-02-24,1634.309,0,0
55,2000-02-25,1631.576,0,0
56,2000-02-26,1631.576,0,0
57,2000-02-27,1631.576,0,0
58,2000-02-28,1704.855,0,0
59,2000-02-29,1714.578,0,0
60,2000-03-01,1697.744,0,0
61,2000-03-02,1713.014,0,0
62,2000-03-03,1738.021,0,0
63,2000-03-04,1738.021,0,0
64,2000-03-05,1738.021,0,0
65,2000-03-06,1681.085,0,0
66,2000-03-07,1694.798,0,0
67,2000-03-08,1726.033,0,0
68,2000-03-09,1732.346,0,0
69,2000-03-10,1705.049,0,0
70,2000-03-11,1705.049,0,0
71,2000-03-12,1705.049,0,0
72,2000-03-13,1728.875,0,0
73,2000-03-14,1685.347,0,0
74,2000-03-15,1681.471,0,0
75,2000-03-16,1607.527,0,0
76,2000-03-17,1658.601,0,0
77,2000-03-18,1658.601,0,0
78,2000-03-19,1658.601,0,0
79,2000-03-20,1699.248,0,0
80,2000-03-21,1710.324,0,0
81,2000-03-22,1720.446,0,0
82,2000-03-23,1747.241,0,0
83,2000-03-24,1730.499,0,0
84,2000-03-25,1730.499,0,0
85,2000-03-26,1730.499,0,0
86,2000-03-27,1775.914,0,0
87,2000-03-28,1791.441,0,0
88,2000-03-29,1788.807,0,0
89,2000-03-30,1810.984,0,0
90,2000-03-31,1800.225,0,0
91,2000-04-01,1800.225,0,0
92,2000-04-02,1800.225,0,0
93,2000-04-03,1801.003,0,0
94,2000-04-04,1760.692,0,0
95,2000-04-05,1771.199,0,0
96,2000-04-06,1809.141,0,0
97,2000-04-07,1819.896,0,0
98,2000-04-08,1819.896,0,0
99,2000-04-09,1819.896,0,0
100,2000-04-10,1826.061,0,0
101,2000-04-11,1821.174,0,0
102,2000-04-12,1807.328,0,0
103,2000-04-13,1831.548,0,0
104,2000-04-14,1833.665,0,0
105,2000-04-15,1833.665,0,0
106,2000-04-16,1833.665,0,0
107,2000-04-17,1795.058,0,0
108,2000-04-18,1813.495,0,0
109,2000-04-19,1828.71,0,0
110,2000-04-20,1847.027,0,0
111,2000-04-21,1841.064,0,0
112,2000-04-22,1841.064,0,0
113,2000-04-23,1841.064,0,0
114,2000-04-24,1837.398,0,0
115,2000-04-25,1833.469,0,0
116,2000-04-26,1832.779,0,0
117,2000-04-27,1806.83,0,0
118,2000-04-28,1836.321,0,0
119,2000-04-29,1836.321,0,0
120,2000-04-30,1836.321,0,0
121,2000-05-01,1836.321,0,0
122,2000-05-02,1836.321,0,0
123,2000-05-03,1836.321,0,0
124,2000-05-04,1836.321,0,0
125,2000-05-05,1836.321,0,0
126,2000-05-06,1836.321,0,0
127,2000-05-07,1836.321,0,0
128,2000-05-08,1836.637,0,0
129,2000-05-09,1806.638,0,0
130,2000-05-10,1752.689,0,0
131,2000-05-11,1724.048,0,0
132,2000-05-12,1720.608,0,0
133,2000-05-13,1720.608,0,0
134,2000-05-14,1720.608,0,0
135,2000-05-15,1704.587,0,0
136,2000-05-16,1724.538,0,0
137,2000-05-17,1725.398,0,0
138,2000-05-18,1758.537,0,0
139,2000-05-19,1777.828,0,0
140,2000-05-20,1777.828,0,0
141,2000-05-21,1777.828,0,0
142,2000-05-22,1824.736,0,0
143,2000-05-23,1832.075,0,0
144,2000-05-24,1855.493,0,0
145,2000-05-25,1880.704,0,0
146,2000-05-26,1879.617,0,0
147,2000-05-27,1879.617,0,0
148,2000-05-28,1879.617,0,0
149,2000-05-29,1898.748,0,0
150,2000-05-30,1877.471,0,0
151,2000-05-31,1894.554,0,0
152,2000-06-01,1903.488,0,0
153,2000-06-02,1916.25,0,0
154,2000-06-03,1916.25,0,0
155,2000-06-04,1916.25,0,0
156,2000-06-05,1899.092,0,0
157,2000-06-06,1925.544,0,0
158,2000-06-07,1935.031,0,0
159,2000-06-08,1925.206,0,0
160,2000-06-09,1900.787,0,0
161,2000-06-10,1900.787,0,0
162,2000-06-11,1900.787,0,0
163,2000-06-12,1912.557,0,0
164,2000-06-13,1938.674,0,0
165,2000-06-14,1932.29,0,0
166,2000-06-15,1942.285,0,0
167,2000-06-16,1926.944,0,0
168,2000-06-17,1926.944,0,0
169,2000-06-18,1926.944,0,0
170,2000-06-19,1915.205,0,0
171,2000-06-20,1895.348,0,0
172,2000-06-21,1913.131,0,0
173,2000-06-22,1913.901,0,0
174,2000-06-23,1939.627,0,0
175,2000-06-24,1939.627,0,0
176,2000-06-25,1939.627,0,0
177,2000-06-26,1948.639,0,0
178,2000-06-27,1942.898,0,0
179,2000-06-28,1947.481,0,0
180,2000-06-29,1937.261,0,0
181,2000-06-30,1928.106,0,0
182,2000-07-01,1928.106,0,0
183,2000-07-02,1928.106,0,0
184,2000-07-03,1895.637,0,0
185,2000-07-04,1907.931,0,0
186,2000-07-05,1909.187,0,0
187,2000-07-06,1902.552,0,0
188,2000-07-07,1932.792,0,0
189,2000-07-08,1932.792,0,0
190,2000-07-09,1932.792,0,0
191,2000-07-10,1948.021,0,0
192,2000-07-11,1960.541,0,0
193,2000-07-12,1973.374,0,0
194,2000-07-13,1979.201,0,0
195,2000-07-14,1987.192,0,0
196,2000-07-15,1987.192,0,0
197,2000-07-16,1987.192,0,0
198,2000-07-17,1982.479,0,0
199,2000-07-18,1993.986,0,0
200,2000-07-19,1998.426,0,0
201,2000-07-20,1991.56,0,0
202,2000-07-21,1996.336,0,0
203,2000-07-22,1996.336,0,0
204,2000-07-23,1996.336,0,0
205,2000-07-24,1989.239,0,0
206,2000-07-25,1996.577,0,0
207,2000-07-26,2012.319,0,0
208,2000-07-27,2012.35,0,0
209,2000-07-28,2012.793,0,0
210,2000-07-29,2012.793,0,0
211,2000-07-30,2012.793,0,0
212,2000-07-31,2023.539,0,0
213,2000-08-01,2028.151,0,0
214,2000-08-02,2030.683,0,0
215,2000-08-03,2036.301,0,0
216,2000-08-04,2026.361,0,0
